序号,单词,翻译,美式音标,英式音标
934,amok,"adj.杀人狂adv.狂乱地,杀气腾腾地",[əˈmɑk],[əˈmɒk]
935,among," prep.在...之中,...之一",[əˈmʌŋ],[əˈmʌŋ]
936,amongst," prep.在...中间,在...之中",[əˈmʌŋst],[əˈmʌŋst]
937,amoral,"adj.与道德无关的,超道德的",[ˌeˈmɔrəl],[eɪˈmɒrəl]
938,amorous,"adj.多情的,恋爱的,表示爱情的",[ˈæmərəs],[ˈæmərəs]
939,amorphous,"adj.无定形的,无组织的",[əˈmɔrfəs],[əˈmɔ:fəs]
940,amortisation,"n.分期偿还,摊还",[əmɔtaɪˈzeʃən],[əmɔ:taɪˈzeɪʃən]
941,amortise,v.摊还,[ˈæmətaɪz],[əˈmɔ:taɪz]
942,amortization,"n.摊销,摊还,分期偿付n.分期偿还",[əˌmɔtɪˈzeʃn],[əˌmɔ:taɪˈzeɪʃən]
943,amortize,v.分期清偿,[ˈæmɚtaɪz],[əˈmɔ:taɪz]
944,amount,"n.数量vi.(to) 总计,等于",[əˈmaʊnt],[əˈmaʊnt]
945,amour,"n.奸情,恋情",[əˈmʊr],[əˈmʊə]
946,ampere,n.安培,[ˈæmˌpɪɚ],[ˈæmpeə(r)]
947,amperemeter,"n.[物]电流计,安培表",[ˈæmpərɪmər],[ˈæmpərɪmər]
948,amphetamine,n.[药]安非他明,[æmˈfɛtəˌmin],[æmˈfetəmi:n]
949,amphibian,"adj.两栖类的,水陆两用的n.两栖动物,水陆两用飞机,水陆两用的平底车辆",[æmˈfɪbiən],[æmˈfɪbɪən]
950,amphibious,adj.两栖的,[æmˈfɪbiəs],[æmˈfɪbɪəs]
951,amphitheater,"n.古罗马的圆形剧场,竞技场,似圆形剧场的场所",[ˌæmfɪˈθi:ətɚ],[ˈæmfɪθɪətə(r)]
952,amphitheatre,n.阶梯教室(美作:amphitheater)n.圆形剧场,[ˈæmfɪθɪətɚ],[ˈæmfɪθɪətə(r)]
953,ample,"adj.充足的,丰富的",[ˈæmpəl],[ˈæmpl]
954,amplification,n.扩大,[ˌæmpləfɪˈkeʃən],[ˌæmplɪfɪˈkeɪʃən]
955,amplifier,"n.[电工]扩音器,放大器",[ˈæmpləˌfaɪɚ],[ˈæmplɪˌfaɪə]
956,amplify,"vt.放大,增强v.扩大",[ˈæmpləˌfai],[ˈæmplɪfaɪ]
957,amplitude,"n.广阔,丰富,振幅,物理学名词",[ˈæmplɪtud],[ˈæmplɪtju:d]
958,amply,"adv.充足地,详细地",[ˈæmpli],[ˈæmplɪ]
959,amputate,"vt.切除(手臂,腿等)",[ˈæmpjʊˌtet],[ˈæmpjuˌteɪt]
960,amputation,n.切断手术,[ˌæmpjəˈteʃən],[ˌæmpjuˈteɪʃn]
961,amputee,n.受切断手术的人,[ˌæmpjuˈti],[ˌæmpjʊˈti:]
962,amsterdam,n.阿姆斯特丹(荷兰首都),[ˈæmstɚˌdæm],[ˈæmstəˈdæm]
963,amulet,n.护身符,[ˈæmjəlɪt],[ˈæmjulɪt]
964,amuse,"vt.使发笑,使愉快",[əˈmjuz],[əˈmju:z]
965,amused,"adj.愉快的,开心的,好玩的",[əˈmju:zd],[əˈmju:zd]
966,amusement,"n.娱乐,消遣,娱乐活动",[əˈmjuzmənt],[əˈmju:zmənt]
967,amusing,adj.有趣的,[əˈmjuzɪŋ],[əˈmju:zɪŋ]
968,amusingly,"adv.有趣地,好笑地",[əˈmjuzɪŋli],[əˈmju:zɪŋlɪ]
969,amy,n.艾米(女子名),[ˈemi],[ˈeɪmɪ]
970,amygdala,"n.[解]扁桃形结构,如扁桃体",[əˈmɪɡdələ],[əˈmɪɡdələ]
971,amylum,n.淀粉,[æˈmaɪləm],[ˈæmələm]
972,an," art.一(在元音字母前代替不定代词a) [域] Netherlands Antilles ,荷兰属地",[ən],[ən]
973,anabolic,adj.[生化]合成代谢的,[əˈnæbəlɪk],[əˈnæbəlɪk]
974,anabolism,n.[生化]合成代谢,[əˈnabəˌlɪzəm],[əˈnæbəlɪzm]
975,anachronism,n.时代错误,[əˈnækrəˌnɪzəm],[əˈnækrənɪzm]
976,anachronistic,adj.时代错误的,[əˌnækrəˈnɪstɪk],[əˌnækrəˈnɪstɪk]
977,anaconda,"n.[动]水蟒(产于南美洲),似水蟒的大蟒",[ˌænəˈkɑndə],[ˌænəˈkɒndə]
978,anadromous,adj.(海鱼)溯河产卵的,[æˈnɑdroʊməs],[æˈnɑ:drəʊməs]
979,anaemia,"n.[医]贫血,贫血症 (Anaemia) var → anemia",[əˈnimiə],[əˈni:mɪə]
980,anaemic,"adj.[医]贫血的,患贫血症的",[əˈnimɪk],[əˈni:mɪk]
981,anaerobe,n.[微]厌氧性生物,[ˈænəˌroʊb],[æˈneɪərəʊb]
982,anaerobic,"adj.[微]没有空气而能生活的,厌氧性的",[ˌæneˈroʊbɪk],[ˌæneəˈrəʊbɪk]
983,anaesthesia,"n.[医]感觉缺乏,麻木,麻醉(法)",[ˌænɪsˈθiʒə],[ˌænəsˈθi:zjə]
984,anaesthetic,n.麻醉剂adj.麻醉的,[ˌænɪsˈθɛtɪk],[ˌænɪsˈθetɪk]
985,anaesthetize,"vt.麻痹,使麻痹",[ˈənɛsθɪˌtaɪz],[əˈni:sθətaɪz]
986,anagram,n.由颠倒字母顺序而构成的字(片语),[ˈænəˌɡræm],[ˈænəɡræm]
987,anal,"adj.肛门的,近肛门的",[ˈenəl],[ˈeɪnəl]
988,analects,"n.文选,论集",[ˌænəˈlekts],[ˈænəlekts]
989,analgesia,"n.无痛觉,[医]痛觉丧失",[ˌænəlˈdʒiʒə],[ˌænælˈdʒi:zjə]
990,analgesic,"adj.止痛的,不痛的n.[医]止痛剂",[ˌænəlˈdʒizɪk],[ænælˈdʒi:sɪk]
991,analog,"n.类似物,相似体",[ˈænəlɔg],[ˈænəlɒɡ]
992,analogize,vt.以类推来说明vi.类推,[əˈnælɚdʒaɪz],[əˈnælə(r)dʒaɪz]
993,analogous,"adj.类似的,相似的,可比拟的",[əˈnæləɡəs],[əˈnæləɡəs]
994,analogue,"n.相似物,类似情况,对等的人",[ˈænəˌlɔɡ],[ˈænəlɒɡ]
995,analogy,"n.类似,类推",[əˈnælədʒi],[əˈnælədʒɪ]
996,analyse,"vt.分析,分解n.分析",[ˈænəˌlaɪz],[ˈænəlaɪz]
997,analyser,n.分析者,[ˈænəlaɪzɚ],[ˈænəlaɪzə]
998,analysis,"n.分析,分解",[əˈnæləsɪs],[əˈnæləsɪs]
999,analyst,"n.分析家,分解者",[ˈænəlɪst],[ˈænəlɪst]
1000,analytic,"adj.分析的,解析的",[ˌænəˈlɪtɪk],[ˌænəˈlɪtɪk]
1001,analytical,"adj.分析的,解析的",[ˌænəˈlɪtɪkl],[ˌænəˈlɪtɪkəl]
1002,analyze,"vt.分析,分解",[ˈænəˌlaɪz],[ˈænəlaɪz]
1003,analyzer,"n.分析者,分析器",[ˈænəˌlaɪzɚ],[ˈænəˌlaɪzə]
1004,anaphase,n.[生](细胞分裂的)后期,[ˈænəˌfez],[ˈænəˌfez]
1005,anarchic,"adj.无政府主义的,无法无天的",[ænˈɑrkɪk],[æˈnɑ:kɪk]
1006,anarchism,n.无政府主义,[ˈænɚkɪzəm],[ˈænəkɪz(ə)m]
1007,anarchist,n.无政府主义者,[ˈænɚkɪst],[ˈænəkɪst]
1008,anarchy,"n.无政府状态,政治混乱",[ˈænɚki],[ˈænəkɪ]
1009,anathema,"n.诅咒,咒逐,[宗]革出教门,被咒逐的人(物)",[əˈnæθəmə],[əˈnæθəmə]
1010,anathematize,"v.开除教籍,诅咒,咒逐",[əˈnæθəməˌtaɪz],[əˈnæθəməˌtaɪz]
1011,anatomical,"adj.解剖的,解剖学的",[ˌænəˈtɑmɪkəl],[ˌænəˈtɒmɪkəl]
1012,anatomist,"n.解剖学家,剖析者",[əˈnætəmɪst],[əˈnætəmɪst]
1013,anatomize,"vt.解剖,仔细分析",[əˈnætəˌmaɪz],[əˈnætəmaɪz]
1014,anatomy,"n.剖析,解剖学",[əˈnætəmi],[əˈnætəmɪ]
1015,anc,"African National Congress,非洲民族会议",[ˌeenˈsi],[ˌeɪenˈsi:]
1016,ancestor,"n.祖先,祖宗",[ˈænˌsɛstɚ],[ˈænˌsestə]
1017,ancestral,"adj.祖先的,祖传的",[ænˈsɛstrəl],[ænˈsestrəl]
1018,ancestry,"n.祖先(集合称),家系,血统",[ˈænˌsɛstri],[ˈænsestrɪ]
1019,anchor,"n.锚v.抛锚,锚定",[ˈæŋkɚ],[ˈæŋkə]
1020,anchorage,"n.停泊地点,抛锚地点",[ˈæŋkərɪdʒ],[ˈæŋkərɪdʒ]
1021,anchorman,"n.(接力赛中)末棒运动员,(汇编各地采访人员的资料并进行综合评价的)新闻节目主持人",[ˈæŋkɚmæn],[ˈæŋkəmæn]
1022,anchovy,n.凤尾鱼,[ˈæntʃovi],[ˈæntʃəʊvɪ]
1023,ancient,"adj.远古的,旧的",[ˈenʃənt],[ˈeɪnʃənt]
1024,ancillary,"adj.补助的,副的",[ˈænsəleri],[ænˈsɪlərɪ]
1025,and," conj.和,及,并,然后,接着又 /conj.及(或)",[ænd],[ænd]
1026,andante,"n.行板,缓慢的曲子adj.缓慢的adv.缓慢地",[ænˈdænte],[ænˈdænteɪ]
1027,andean,"adj.安第斯(Andes)山脉的,n.安第斯人",[ˈændɪən],[ˈændɪən]
1028,andes,n.安第斯山脉,[ˈændiz],[ˈændi:z]
1029,andrea,n.安德里亚(f. & m.),[ˈændrɪə],[ˈændrɪə]
1030,androgynous,"adj.雌雄同体的,雌雄同花的",[ænˈdrɑdʒənəs],[ænˈdrɒdʒɪnəs]
1031,android,n.机器人,[ˈænˌdrɔɪd],[ˈændrɒɪd]
1032,andy,n.Andrew 之昵称,[ˈændi],[ˈændɪ]
1033,anecdotal,"adj.轶话的,多轶事趣闻的,轶事一样的",[ˌænɪkˈdotl],[ˌænɪkˈdəʊtl]
1034,anecdote,"n.轶事,奇闻",[ˈænɪkdoʊt],[ˈænɪkdəʊt]
1035,anemia,"n.贫血,贫血症",[əˈnimiə],[əˈni:mɪə]
1036,anemic,"adj.贫血的,患贫血症的",[əˈnimɪk],[əˈni:mɪk]
1037,anemometer,"n.风速计,风力计",[ˌænɪˈmɑmɪtɚ],[ˌænɪˈmɒmɪtə(r)]
1038,anesthesia,n.=<美>anaethesia,[ˌænəsˈθiʒə],[ˌænɪsˈθi:zɪə]
1039,anesthesiologist,n.麻醉学者,[ˌænəsˌθizɪˈɑlədʒɪst],[ˌænəsˌθi:zɪˈɒlədʒɪst]
1040,anesthetic,"n.麻醉剂,麻药adj.麻醉的",[ˌænɪsˈθɛtɪk],[ˌænəsˈθetɪk]
1041,anesthetist,n.麻醉师,[əˈnɛsθətɪst],[æˈni:sθetɪst]
1042,anesthetize,"vt.麻痹,使麻痹",[ˈənɛsθɪˌtaɪz],[əˈnesθətaɪz]
1043,aneurysm,n.动脉瘤,[ˈænjəˌrɪzəm],[ˈænjərɪzəm]
1044,anew,"adv.重新,再",[əˈnu],[əˈnju:]
1045,angel,"n.天使,完善可爱的人",[ˈendʒəl],[ˈeɪndʒəl]
1046,angelfish,"n.[鱼]扁鲨,刺蝶鱼,天使鱼",[ˈendʒlfɪʃ],[ˈeɪndʒlfɪʃ]
1047,angelic,"adj.天使的,似天使的",[ænˈdʒɛlɪk],[ænˈdʒelɪk]
1048,anger,"n.怒,愤怒v.恼火",[ˈæŋɡɚ],[ˈæŋɡə]
1049,angiosperm,n.被子植物,[ˌændʒɪrˌspɜm],[ˈændʒɪəʊˌspɜ:m]
1050,angle,"n.[数]角,角落vi.钓鱼,追逐",[ˈæŋɡəl],[ˈæŋɡl]
1051,angled,adj.成角的,[ˈæŋgld],[ˈæŋgəld]
1052,angler,n.钓鱼者,[ˈæŋɡlɚ],[ˈæŋɡlə]
1053,anglican,n.英国国教徒adj.英国国教的,[ˈæŋɡlɪkən],[ˈæŋglɪkən]
1054,angling,"n.钓鱼,钓鱼术",[ˈæŋɡlɪŋ],[ˈæŋɡlɪŋ]
1055,anglo,n.英国人,[ˈængloʊ],[ˈæŋgləʊ]
1056,angrily,adv.愤怒地,[ˈæŋɡrɪli],[ˈæŋɡrəlɪ]
1057,angry,"adj.生气的,愤怒的,狂暴的(风雨等)",[ˈæŋɡri],[ˈæŋɡrɪ]
1058,angst,"n.焦虑,担心",[ɑŋkst],[æŋst]
1059,anguish,"n.痛苦,苦恼vt.使极苦闷,使极痛苦vi.感到痛苦",[ˈæŋɡwɪʃ],[ˈæŋɡwɪʃ]
1060,anguished,"adj.痛苦的,苦恼的",[ˈæŋɡwɪʃd],[ˈæŋɡwɪʃd]
1061,angular,adj.有角的,[ˈæŋɡjəlɚ],[ˈæŋɡjulə]
1062,anhydride,n.酐,[ænˈhaɪˌdraɪd],[ænˈhaɪˌdraɪd]
1063,anhydrous,adj.无水的,[ænˈhaɪdrəs],[ænˈhaɪdrəs]
1064,anima,"n.<拉>生命,灵魂",[ˈænɪmɚ],[ˈænɪmə(r)]
1065,animadversion,"n.批评,非难",[ˌænəmædˈvɚʃən],[ˌænɪmædˈvɜ:ʃən]
1066,animadvert,"vi.批判,非难",[ˌænəmædˈvɜt],[ˌænɪmædˈvɜ:t]
1067,animal,n.动物,[ˈænəməl],[ˈænɪməl]
1068,animate,v.鼓舞adj.生气勃勃的,[ˈænəˌmet],[ˈænɪmeɪt]
1069,animated,"adj.活生生的,活泼的,动的,愉快的",[ˈænəˌmetɪd],[ˈænɪmeɪtɪd]
1070,animation,"n.活泼,有生气,动画",[ˌænəˈmeʃən],[ˌænɪˈmeɪʃən]
1071,animator,"n.给予生气者,鼓舞者,漫画家",[ˈænəˌmetɚ],[ˈænəˌmeɪtə]
1072,anime,n.芳香树脂,[ˈænɪme],[ˈænɪmeɪ]
1073,animosity,"n.仇恨,憎恶",[ˌænɪˈmɑsəti],[ˌænɪˈmɒsɪtɪ]
1074,animus,"n.敌意,意图",[ˈænəməs],[ˈænɪməs]
1075,anion,n.阴离子,[ˈænˌaɪən],[ˈænaɪən]
1076,anionic,"adj.[化]阴离子的,带负电荷的离子的",[ˌænaɪˈɑnɪk],[ˌænaɪˈɒnɪk]
1077,anise,n.[植]茴芹,[ˈænɪs],[ˈænɪs]
1078,anisotropic,[植]各向异性的,[ˌænaɪsəˈtrɑpɪk],[ˌænaɪsəˈtrɒpɪk]
1079,anisotropy,各向异性;[植]各向异性,[əˈnɪsətrəpi],[ˌænaɪˈsɒtrəpɪ]
1080,ankle,n.[解]踝,[ˈæŋkəl],[ˈæŋkl]
1081,anklet,"n.脚镯,短袜,脚镣",[ˈæŋklət],[ˈæŋklət]
1082,ann,n.安(女子名),[æn],[æn]
1083,anna,n.安娜,[ˈɑnə],[ˈænə]
1084,annal,n.记录,[ˈænəl],[ˈænl]
1085,annalist,"n.纪年表编者,编年史作者",[ˈænəlɪst],[ˈænəlɪst]
1086,annals,"n.编年史,年报",[ˈænəlz],[ˈænəlz]
1087,anne," 圣安妮(据基督教<<圣经>>""外传""载系圣母马利亚的母亲,7月26 日是她的纪念节)",[æn],[æn]
1088,anneal,"n.退火,焖火,锻炼,磨练(意志)",[əˈnil],[əˈni:l]
1089,annex,"n.附件vt.并吞,附加",[ˈænˌɛks],[əˈneks]
1090,annexation,n.合并,[ˌænɛkˈseʃən],[ˌænekˈseɪʃn]
1091,annexe,"n.附加物,附属建筑",[ˈænɪks],[ˈæneks]
1092,annie,n.安妮(女子名),[ˈeni],[ˈenɪ]
1093,annihilate,"vt.消灭,歼灭",[əˈnaɪəˌlet],[əˈnaɪəleɪt]
1094,annihilation,"n.歼灭,灭绝",[əˌnaɪəˈleʃən],[əˌnaɪəˈleɪʃn]
1095,anniversary,n.周年纪念,[ˌænɪˈvɚsəri],[ˌænɪˈvɜ:sərɪ]
1096,annotate,"v.注释,评注",[ˈænotet],[ˈænəʊteɪt]
1097,annotation,"n.注解,评注 注解,注释",[ˌænəˈteʃn],[ˌænəˈteɪʃn]
1098,announce,"vt.宣布,通告",[əˈnaʊns],[əˈnaʊns]
1099,announcement,"n.宣告,发表,一项公告,一项私人告示",[əˈnaʊnsmənt],[əˈnaʊnsmənt]
1100,announcer,"n.广播员,告知者,报幕员",[əˈnaʊnsɚ],[əˈnaʊnsə]
1101,annoy,"vt.使苦恼,骚扰",[əˈnɔi],[əˈnɒɪ]
1102,annoyance,"n.烦恼,可厌之事",[əˈnɔɪəns],[əˈnɒɪəns]
1103,annoying,"adj.恼人的,讨厌的",[əˈnɔɪɪŋ],[əˈnɒɪɪŋ]
1104,annoyingly,"adv.恼人地,烦人地",[əˈnɔɪɪŋli],[əˈnɔɪɪŋlɪ]
1105,annual,"n.一年生植物,年刊,年鉴adj.一年一次的,每年的,一年生的",[ˈænjuəl],[ˈænjʊəl]
1106,annually,"adv.一年一次,每年",[ˈænjʊəli],[ˈænjʊəlɪ]
1107,annuity,"n.年金,养老金,年金享受权",[əˈnuəti],[əˈnju:ɪtɪ]
1108,annul,"v.废除,取消,废止",[əˈnʌl],[əˈnʌl]
1109,annular,"adj.环的,环形的,有环纹的",[ˈænjəlɚ],[ˈænjələ(r)]
1110,annulment,"n.废除,取消,(法院对婚姻等)判决无效",[əˈnʌlmənt],[əˈnʌlmənt]
1111,annum,"n.年,岁",[ˈænəm],[ˈænəm]
1112,anode,"n.[电]阳极,正极",[ˈænoʊd],[ˈænəʊd]
1113,anodyne,"n.止痛剂,镇痛剂adj.止痛的",[ˈænədaɪn],[ˈænədaɪn]
1114,anoint,"vt.涂以油或软膏,施以涂油礼",[əˈnɔɪnt],[əˈnɒɪnt]
1115,anole,"n.变色龙,避役(蜥蜴类产于美洲)",[əˈnoʊl],[əˈnəʊl]
1116,anomalous,"adj.不规则的,反常的",[əˈnɑmələs],[əˈnɒmələs]
1117,anomaly,"n.不规则,异常的人或物",[əˈnɑməli],[əˈnɒməlɪ]
1118,anomie,"n.社会的反常状态,混乱",[ˈænəmi],[ˈænəmɪ]
1119,anon,"adv.不久,立刻,之后",[əˈnɑn],[əˈnɒn]
1120,anonymity,"n.匿名,作者不明(或不详)",[ˌænəˈnɪmɪti],[ænəˈnɪmɪtɪ]
1121,anonymous,adj.匿名的,[əˈnɑnəməs],[əˈnɒnəməs]
1122,anonymously,"adv.不具名地,化名地",[əˈnɑnəməsli],[əˈnɒnɪməslɪ]
1123,anopheles," 按蚊,疟蚊",[əˈnɒfəˌliz],[əˈnɒfəˌli:z]
1124,anorak,"n.带兜帽的夹克,带风帽的粗呢大衣",[ˈænəˌræk],[ˈɑ:nərɑ:k]
1125,anorexia,"n.食欲减退,厌食",[ˌænəˈrɛksiə],[ˌænəˈreksiə]
1126,another,"adj.另外的,又一,不同的 prep.另一个,另一个人,同类的东西",[əˈnʌðɚ],[əˈnʌðə]
1127,anoxia,n.[医]缺氧症,[æˈnɑksɪɚ],[æˈnɒksɪə]
1128,answer,"n.答案,回答,答辩,抗辩v.回答说,答复说,符合,反响,响应",[ˈænsɚ],[ˈɑ:nsə]
1129,answerable,"adj.有责任的,应负责的,可回答的 (Answerable)adj.可答覆的",[ˈænsərəbl],[ˈɑ:nsərəbl]
1130,antacid,"adj.中和酸性的,抗酸性的n.抗酸剂",[æntˈæsɪd],[æntˈæsɪd]
1131,antagonism,"n.对抗(状态),对抗性",[ænˈtæɡəˌnɪzəm],[ænˈtæɡənɪzəm]
1132,antagonist,"n.敌手,对手",[ænˈtæɡənɪst],[ænˈtæɡənɪst]
1133,antagonistic,"adj.反对的,敌对的",[ænˌtæɡəˈnɪstɪk],[ænˌtæɡəˈnɪstɪk]
1134,antagonize,"vt.敌对,对抗",[ænˈtæɡəˌnaɪz],[ænˈtæɡənaɪz]
1135,antarctic,"adj.南极的,南极地带的",[ænˈtɑrktɪk],[ænˈtɑ:ktɪk]
1136,antarctica,n.南极洲,[ænˈtɑrktɪkə],[ænˈtɑ:ktɪkə]
1137,ante,n.<美>(打扑克牌发牌前下的)赌注v.下赌注,[ˈænti],[ˈæntɪ]
1138,antebellum,adj.<美>战前的(尤指南北战争前的),[ˌæntɪˈbɛləm],[ˌæntɪˈbeləm]
1139,antecede,"v.先前,先行",[ˌæntɪˈsid],[ˌæntɪˈsi:d]
1140,antecedence,"n.先行,先前",[ˌæntəˈsidəns],[æntɪˈsi:dəns]
1141,antecedent,n.先辈adj.先行的,[ˌæntɪˈsidnt],[ˌæntɪˈsi:dnt]
1142,antechamber,n.接待室,[ˈæntɪtʃembɚ],[ˈæntɪtʃeɪmbə(r)]
1143,antedate,"n.比正确日期早的日期v.提早日期,居先",[ˈæntɪˌdet],[ˌæntɪˈdeɪt]
1144,antediluvian,"adj.(<<圣经>>中所说的)大洪水前的,上古的,古风的n.大洪水以前的人,很老的人,老古董",[ˌæntɪdəˈluviən],[ˌæntɪdɪˈlu:vɪən]
1145,antelope,n.羚羊,[ˈæntɪloʊp],[ˈæntɪləʊp]
1146,antemeridian,adj.上午的,[æntɪməˈrɪdɪrn],[ˌæntɪməˈrɪdɪən]
1147,antemundane,adj.世界形成以前的,[æntimʌnˈden],[ˌæntɪˈmʌndeɪn]
1148,antenatal,adj.[医]出生前的,[ˌæntiˈnetl],[ˌæntɪˈneɪtl]
1149,antenna,n antenae <动>触角 (antenna)n.天线,[ænˈtɛnə],[ænˈtenə]
1150,antennae," antenna的复数, 见antenna",[ænˈteni],[ænˈteni:]
1151,antennal,adj.触角的,[ænˈtɛnəl],[ænˈtenəl]
1152,anterior,"adj.前面的,在前的",[ænˈtɪriɚ],[ænˈtɪərɪə]
1153,anteroom,"n.接待室,前厅",[ˈæntiˌrum],[ˈæntɪru:m]
1154,anthem,"n.圣歌,赞美诗",[ˈænθəm],[ˈænθəm]
1155,anthocyanin,"n.[植]花青素,[化]花色醣苔",[ˌænθəˈsaɪənɪn],[ˌænθəˈsaɪənɪn]
1156,anthology,"n.诗选,文选",[ænˈθɑlədʒi],[ænˈθɒlədʒɪ]
1157,anthracite,n.无烟煤,[ˈænθrəˌsaɪt],[ˈænθrəsaɪt]
1158,anthrax,n.[兽]炭疽热,[ˈænˌθræks],[ˈænθræks]
1159,anthropic,"adj.人类的,有关人类的",[ænˈθrɔpɪk],[ænˈθrɒpɪk]
1160,anthropocentric,/n.人类中心说sm/9AnWrEJpEJ`seIk/adj.以人类为謓trIzLm/n.人类中行牡,[ˌænθrəpəˈsɛntrɪk],[ˌænθrəpəˈsentrɪk]
1161,anthropoid,n.类人猿adj.似人类的,[ˈænθrəˌpɔɪd],[ˈænθrəpɒɪd]
1162,anthropological,"adj.人类学的,lly//adv.人类学上/人类学上的",[ˌænθrəpəˈlɑdʒɪkl],[ˌænθrəpəˈlɒdʒɪkəl]
1163,anthropologist,"n.人类学者,人类学家",[ˌænθrəˈpɑlədʒɪst],[ˌænθrəˈpɒlədʒɪst]
1164,anthropology,n.人类学,[ˌænθrəˈpɑlədʒi],[ˌænθrəˈpɒlədʒɪ]
1165,anthropomorphic,AnWrEpEJ5mC:fst//n.神、人同形ze/9AnWrEpEJ`mR:fIk/adj.神、人同Iz(E)m/n.神、人屯壅,[ˌænθrəpəˈmɔrfɪk],[ˌænθrəpəˈmɔ:fɪk]
1166,anti,"n.反对者,反对论者adj.反对的",[ˈænti],[ˈæntɪ]
1167,antiapartheid,adj.反种族隔离的,[ənʃaɪəˈpɑtaɪt],[ənʃaɪəˈpɑ:taɪt]
1168,antibacterial,adj.抗菌的n.抗菌药,[ˌæntibækˈtɪriəl],[ˈæntɪbækˈtɪərɪəl]
1169,antibiotic,n.抗生素adj.抗生的,[ˌæntibaɪˈɑtɪk],[ˌæntɪbaɪˈɒtɪk]
1170,antibiotics,"n.抗生素,抗生学",[ˌæntɪbaɪˈɒtɪks],[ˌæntɪbaɪˈɒtɪks]
1171,antibody,n.抗体,[ˈæntibɑdi],[ˈæntɪˌbɒdɪ]
1172,antic,"n.丑角,滑稽动作adj.奇特的,滑稽可笑的",[ˈæntɪk],[ˈæntɪk]
1173,anticancer,adj.[医]抗癌的,[æntiˈkænsə],[ænti:ˈkænsə]
1174,anticapitalist,adj.&n.反对资本主义的(人),[æntiˈkæpɪtəlɪst],[ænti:ˈkæpɪtəlɪst]
1175,anticipate,"vt.预期,期望,过早使用,先人一着,占先v.预订,预见,可以预料",[ænˈtɪsəˌpet],[ænˈtɪsɪpeɪt]
1176,anticipation,"n.预期,预料",[ænˌtɪsəˈpeʃən],[ˌæntɪsɪˈpeɪʃən]
1177,anticipatory,"adj.预料的,预想的",[ænˈtɪsəpətori],[ænˈtɪsɪpeɪtərɪ]
1178,anticlimactic,"adj.[修]突降法的,突减的(兴趣等),虎头蛇尾的",[ˌæntɪklaɪˈmæktɪk],[ˌæntɪklaɪˈmæktɪk]
1179,anticlimax,"n.突降法,突减,虎头蛇尾",[ˌæntiˈklaɪˌmæks],[ˌæntɪˈklaɪmæks]
1180,anticlockwise,adj.adv.逆时针的(地),[ˌæntiˈklɑkwaɪz],[ˈæntɪˌklɒkwaɪz]
1181,anticoagulant,n.[药]抗凝血剂,[ˌæntɪkoʊˈægjələnt],[ˌæntɪkəʊˈægjələnt]
1182,anticompetitive,adj.反竞争的,[æntikəmˈpetətɪv],[ˌæntɪkəmˈpetətɪv]
1183,antics,"n.滑稽的动作,古怪的姿态",[ˈæntɪks],[ˈæntɪks]
1184,anticyclone,"n.反气旋,高气压",[ˌæntiˈkloʊn],[ˌæntɪˈsaɪkləʊn]
1185,anticyclonic,adj.反气旋的,[æntɪsaɪkˈlɔnɪk],[æntɪsaɪkˈlɒnɪk]
1186,antidote,"n.[医]解毒剂,矫正方法",[ˈæntidoʊt],[ˈæntɪdəʊt]
1187,antidumping,adj.反倾销政策的,[ˌæntɪˈdʌmpɪŋ],[ˌæntɪˈdʌmpɪŋ]
1188,antifebrile,"adj.退热的,解热的n.解热剂",[æntɪˈfibraɪl],[æntɪˈfi:braɪl]
1189,antifreeze,n.<美>[化]防冻剂,[ˈæntɪˌfriz],[ˈæntɪfri:z]
1190,antigen,n.<美>[免疫]抗原,[ˈæntɪdʒən],[ˈæntɪdʒən]
1191,antigravity,n.[物]无重量,[ˌæntiˈɡrævɪti],[æntɪˈgrævɪtɪ]
1192,antihistamine,n.[药]抗组胺剂,[ˌæntiˈhɪstəˌmin],[ˌænti:ˈhɪstəmi:n]
1193,antilogarithm,n.[数]逆对数,[ˌæntɪˈlɔɡərɪðəm],[ˌæntɪˈlɒɡərɪðəm]
1194,antilogy,"n.思想,用语前后矛盾",[ˈæntɪlədʒi],[ænˈtɪlədʒɪ]
1195,antimatter,n.反物质,[ˈæntimætɚ],[ˈæntɪmætə(r)]
1196,antimony,n.[化]锑,[ˈæntɪmoʊni],[ˈæntɪmənɪ]
1197,antinuclear,adj.反对使用核武器的,[əntɪˈnuklɪɚ],[əntɪˈnju:klɪə]
1198,antioxidant,"n.[化]抗氧化剂,硬化防止剂",[ˌæntiˈɑksɪdənt],[ˌæntɪˈɒksɪdənt]
1199,antipasto,n.开胃食物,[ˌæntiˈpæsto],[ˌænti:ˈpæstəʊ]
1200,antipathy,"n.憎恶,反感",[ænˈtɪpəθi],[ænˈtɪpəθɪ]
1201,antipode,n.正相反的事物,[ˈæntɪˌpoʊd],[ˈæntɪpəʊd]
1202,antipodes,n.相对极 (Antipodes)n. 澳大利亚和新西兰,[ænˈtɪpədiz],[ænˈtɪpədi:z]
1203,antipollution,adj.防止环境污染的 防污染的,[ˈæntipəlˈuʃn],[ˈænti:pəlˈu:ʃn]
1204,antipruritic,"n.止痒剂adj.止痒的,防痒的",[æntiprʊˈrɪtɪk],[æntɪprʊˈrɪtɪk]
